Metric,Value,Timestamp
Run ID,1,2025-09-16T21:59:18.815849
Total Unique Keys,0,2025-09-16T21:59:18.815858
Keys in System A,0,2025-09-16T21:59:18.815861
Keys Only in A (Propagation Gaps),0,2025-09-16T21:59:18.815864
Keys Missing in A (Out of Authority),0,2025-09-16T21:59:18.815867
Keys in All Systems,0,2025-09-16T21:59:18.815869
Overall Match Rate,0.0%,2025-09-16T21:59:18.815938
Total Out of Authority Keys,0,2025-09-16T21:59:18.815951
Total Propagation Gaps,0,2025-09-16T21:59:18.815954
Total Duplicate Groups,0,2025-09-16T21:59:18.815956
